5							
#n	DRF4PFI791.PV	DRF4HFIC41.PV	DRF4HTI43.PVA	DKGUFAI502X.PV	DRF4UTI744.PVA  
  4.0675962e+002	  1.0803166e+002	  2.7158592e+002	  3.8491904e+004	  2.7277691e+000	
  4.0725879e+002	  1.0814259e+002	  2.7155881e+002	  3.8481478e+004	  2.3367323e+000	
  4.1070863e+002	  1.0814116e+002	  2.7153171e+002	  3.8408741e+004	  1.9336944e+000	
  4.1267378e+002	  1.0788757e+002	  2.7150460e+002	  3.9075672e+004	  1.4151002e+000	
  4.1401759e+002	  1.0799905e+002	  2.7147750e+002	  3.8368360e+004	  8.6753558e-001	
  4.1326978e+002	  1.0787694e+002	  2.7145039e+002	  3.9093716e+004	  7.9635093e-001	
  4.1768938e+002	  1.0795649e+002	  2.7141766e+002	  3.7431481e+004	  1.2508154e+000	
  4.1332015e+002	  1.0803645e+002	  2.7136496e+002	  3.8545947e+004	  1.7055943e+000	
  4.1519066e+002	  1.0805043e+002	  2.7131051e+002	  3.9007372e+004	  2.1603732e+000	
  4.1371080e+002	  1.0802939e+002	  2.7125605e+002	  3.8225822e+004	  2.6151521e+000	
  4.1764969e+002	  1.0800384e+002	  2.7120160e+002	  3.8513808e+004	  3.0699310e+000	
  4.2005457e+002	  1.0793115e+002	  2.7114715e+002	  3.8110179e+004	  3.5247099e+000	
  4.1687241e+002	  1.0790073e+002	  2.7109270e+002	  3.7488332e+004	  3.7913378e+000	
  4.1609720e+002	  1.0804028e+002	  2.7103824e+002	  3.7972411e+004	  3.6807283e+000	
  4.1602435e+002	  1.0785457e+002	  2.7098379e+002	  3.8223497e+004	  3.5595345e+000	
  4.1619987e+002	  1.0785209e+002	  2.7092934e+002	  3.8059114e+004	  3.4375217e+000	
  4.1814270e+002	  1.0798327e+002	  2.7089591e+002	  3.7675629e+004	  3.2936720e+000	
  4.2096437e+002	  1.0796694e+002	  2.7093701e+002	  3.8013295e+004	  3.1400954e+000	
  4.2357476e+002	  1.0805710e+002	  2.7098466e+002	  3.7954513e+004	  2.9865189e+000	
  4.2255857e+002	  1.0813373e+002	  2.7103232e+002	  3.9097243e+004	  2.8329423e+000	
  4.2158039e+002	  1.0820803e+002	  2.7107997e+002	  4.0159000e+004	  2.6793657e+000	
  4.2310257e+002	  1.0797969e+002	  2.7112763e+002	  3.9091903e+004	  2.5257892e+000	
  4.2166164e+002	  1.0799775e+002	  2.7117529e+002	  3.9566425e+004	  2.3722126e+000	
  4.2497357e+002	  1.0800556e+002	  2.7122294e+002	  3.9039290e+004	  2.2186360e+000	
  4.2267435e+002	  1.0804727e+002	  2.7127060e+002	  3.8025387e+004	  2.0650595e+000	
  4.2691282e+002	  1.0812029e+002	  2.7131826e+002	  3.7531638e+004	  1.9172748e+000	
  4.2731438e+002	  1.0797802e+002	  2.7134566e+002	  3.8166987e+004	  1.9238735e+000	
  4.2589194e+002	  1.0791877e+002	  2.7131913e+002	  3.7633652e+004	  1.9992363e+000	
  4.2373520e+002	  1.0796611e+002	  2.7128969e+002	  3.8023991e+004	  2.0745990e+000	
  4.2546302e+002	  1.0799197e+002	  2.7126025e+002	  3.8632852e+004	  2.1499618e+000	
  4.3026170e+002	  1.0801135e+002	  2.7123081e+002	  3.5722373e+004	  2.3962236e+000	
  4.2831594e+002	  1.0807116e+002	  2.7120137e+002	  3.9889665e+004	  3.2484836e+000	
  4.2339600e+002	  1.0762966e+002	  2.7117193e+002	  4.0463315e+004	  4.1540516e+000	
  4.2704444e+002	  1.0800159e+002	  2.7114249e+002	  4.0107486e+004	  5.0482875e+000	
  4.2728225e+002	  1.0804743e+002	  2.7111305e+002	  4.0259171e+004	  5.2402886e+000	
  4.2806791e+002	  1.0803780e+002	  2.7108361e+002	  4.0413795e+004	  5.0160911e+000	
  4.2799902e+002	  1.0810306e+002	  2.7107858e+002	  4.0051565e+004	  4.7918936e+000	
  4.2906076e+002	  1.0795707e+002	  2.7113852e+002	  4.0483105e+004	  4.5676961e+000	
  4.2664916e+002	  1.0796699e+002	  2.7120197e+002	  3.9743479e+004	  4.3434986e+000	
  4.2451897e+002	  1.0798733e+002	  2.7126542e+002	  4.0082015e+004	  4.1193011e+000	
  4.2590564e+002	  1.0799573e+002	  2.7132887e+002	  3.9023885e+004	  3.9043605e+000	
  4.2546056e+002	  1.0796958e+002	  2.7139233e+002	  3.8248569e+004	  3.8283619e+000	
  4.2724638e+002	  1.0798367e+002	  2.7145578e+002	  3.7755818e+004	  3.7989674e+000	
  4.2524884e+002	  1.0805697e+002	  2.7151923e+002	  3.8103522e+004	  3.7695729e+000	
  4.2637004e+002	  1.0803409e+002	  2.7158268e+002	  3.8844039e+004	  3.7401784e+000	
  4.2813824e+002	  1.0802727e+002	  2.7164614e+002	  3.8937639e+004	  3.7107840e+000	
  4.2734664e+002	  1.0798293e+002	  2.7170466e+002	  3.8438361e+004	  3.6813895e+000	
  4.2768834e+002	  1.0805799e+002	  2.7175006e+002	  3.8752632e+004	  3.6519950e+000	
  4.3258981e+002	  1.0942232e+002	  2.7179476e+002	  3.8987167e+004	  3.6226005e+000	
  4.4180449e+002	  1.1093988e+002	  2.7183946e+002	  3.8737488e+004	  3.5932061e+000	
  4.5510220e+002	  1.1221201e+002	  2.7188415e+002	  3.7965800e+004	  3.5756269e+000	
  4.6295278e+002	  1.1312287e+002	  2.7192885e+002	  3.7585430e+004	  3.7353782e+000	
  4.6228027e+002	  1.1295722e+002	  2.7197354e+002	  3.7680955e+004	  3.9546073e+000	
  4.6532569e+002	  1.1303898e+002	  2.7201824e+002	  3.7375106e+004	  4.1738364e+000	
  4.6784872e+002	  1.1301853e+002	  2.7206294e+002	  3.7067867e+004	  4.3930655e+000	
  4.7463809e+002	  1.1294234e+002	  2.7210763e+002	  3.8597472e+004	  4.6122945e+000	
  4.6383961e+002	  1.1298195e+002	  2.7214287e+002	  3.8758576e+004	  4.8315236e+000	
  4.6593343e+002	  1.1295635e+002	  2.7215292e+002	  3.8491640e+004	  5.0429507e+000	
  4.7242016e+002	  1.1298904e+002	  2.7216161e+002	  3.7299325e+004	  5.1372839e+000	
  4.8585771e+002	  1.1298720e+002	  2.7217030e+002	  3.6113252e+004	  5.1923436e+000	
  4.8115590e+002	  1.1294276e+002	  2.7217899e+002	  3.7676992e+004	  5.2474033e+000	
  4.8791065e+002	  1.1300747e+002	  2.7218768e+002	  3.7702942e+004	  5.3024630e+000	
  4.8149091e+002	  1.1296209e+002	  2.7211137e+002	  3.7427037e+004	  5.3575227e+000	
  4.7476987e+002	  1.1147544e+002	  2.7204040e+002	  3.7256218e+004	  5.4125825e+000	
  4.7074657e+002	  1.0996867e+002	  2.7226040e+002	  3.6915009e+004	  5.4172302e+000	
  4.6300050e+002	  1.1000084e+002	  2.7165926e+002	  3.7270306e+004	  5.3462073e+000	
  4.6688930e+002	  1.0996547e+002	  2.7163777e+002	  3.7810878e+004	  5.2744394e+000	
  4.6212073e+002	  1.1002815e+002	  2.7165900e+002	  3.7723134e+004	  5.2026716e+000	
  4.6115993e+002	  1.1005606e+002	  2.7168023e+002	  3.7928298e+004	  5.1309037e+000	
  4.6239648e+002	  1.1005269e+002	  2.7170147e+002	  3.7442997e+004	  5.0591358e+000	
  4.7141382e+002	  1.0995296e+002	  2.7172270e+002	  3.6205327e+004	  4.9873680e+000	
  4.7351607e+002	  1.0999131e+002	  2.7174394e+002	  3.7041761e+004	  4.9156001e+000	
  4.7979993e+002	  1.1009775e+002	  2.7176517e+002	  3.7191569e+004	  4.8438322e+000	
